"AddressID";"HotelID";"EmailAddress"
1;1;"dpofka1@mail.ntua.gr"
2;2;"dpofka2@mail.ntua.gr"
3;3;"dpofka3@mail.ntua.gr"
4;4;"dpofka4@mail.ntua.gr"
5;5;"dpofka5@mail.ntua.gr"
6;6;"dpofka6@mail.ntua.gr"
7;7;"dpofka7@mail.ntua.gr"
8;8;"dpofka8@mail.ntua.gr"
9;9;"dpofka9@mail.ntua.gr"
10;10;"dpofka10@mail.ntua.gr"
11;11;"dpofka11@mail.ntua.gr"
12;12;"dpofka12@mail.ntua.gr"
13;13;"dpofka13@mail.ntua.gr"
14;14;"dpofka14@mail.ntua.gr"
15;15;"dpofka15@mail.ntua.gr"
16;16;"dpofka16@mail.ntua.gr"
17;17;"dpofka17@mail.ntua.gr"
18;18;"dpofka18@mail.ntua.gr"
19;19;"dpofka19@mail.ntua.gr"
20;20;"dpofka20@mail.ntua.gr"
21;21;"dpofka21@mail.ntua.gr"
22;22;"dpofka22@mail.ntua.gr"
23;23;"dpofka23@mail.ntua.gr"
24;24;"dpofka24@mail.ntua.gr"
25;25;"dpofka25@mail.ntua.gr"
